frame_cycles.thisRepN,frame_cycles.thisTrialN,frame_cycles.thisN,frame_cycles.thisIndex,trials.startVal,trials.startValSd,trials.label,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0.8,0.2,start low,0,10,18,start,4,lin,1.3926118925672575,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,10,19,start,4,lin,3.166022700065317,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,11,20,start,4,lin,1.381350089846174,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,11,21,start,4,lin,3.24599595749914,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,12,22,start,4,lin,3.228460757314609,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,12,23,start,4,lin,1.4273690408286321,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,13,24,start,4,lin,1.417165322346265,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,13,25,start,4,lin,3.213040878255229,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,14,26,start,4,lin,3.1992454352827493,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,14,27,start,4,lin,1.460758223208908,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,15,28,start,4,lin,1.4511913159428556,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,15,29,start,4,lin,3.1871349093881,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,16,30,start,4,lin,1.442371565991715,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,16,31,start,4,lin,3.238361057089684,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,17,32,start,4,lin,3.2266413468886985,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,17,33,start,4,lin,1.4789059563524067,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,18,34,start,4,lin,3.216211958511995,0,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,0.8,0.2,start low,0,18,35,start,4,lin,1.4705100761905188,1,,001,2022-05-18_14h18.29.439,gamma_correction_visual,2022.2.0dev3,59.93152834587774,
,,,,3,0.2,start high,1,19,36,start,4,lin,3.261143633039598,,,,,,,,
