Case,ICD10,System,History - CC,Histoy - HPI,History - ROS,History - MEDS,Objective - VITALS,Objctive - GEN,Objective - PE,Objective - DL,Objective - DI,Assessment - Dx,Assessment - DDx,Plan - Tx,Plan - Consult,Plan - Interventions,Foundation
sarcoidosis r. cardiomyopathy,I42.5,Cardiopulm,chest pain,"pre syncope, physical activity, palpitations, short of breath, two months","wheezing, dyspnea, orthopnea, lower extremity edema ","lisinopril, prednisone","blood pressure, heart rate, respiratory rate, oxygen saturation","fatigued, weight gain","no carotid bruit, jvd present, pmi normal inspection, regular rate, pedal edema, calf non tender,murmur, rales, s four, no chest wall tenderness","not elevated, bnp","ekg, xray, ap chest, 2d echo, sinus rythm, normal axis, mediastinal fullness, pulmonary edema, increased wall thickness","sarcoidosis restrictive cardiomyopathy, nyha three",,"strict I/O, dvt prophylaxis, daily weight, oral fluid restriction","cardiologist, hospitalist","furosemide, aspirin, hydralazine, low sodium, nasal cannula",
concentric left ventricular hypertrophy,I42.1,Cardiopulm,chest pain,"two months, short of breath, physical activity","wheezing, dyspnea, orthopnea, lower extremity edema",,"blood pressure, heart rate, respiratory rate, oxygen saturation","fatigued, weight gain","no carotid bruit, jvd present, pmi displaced laterally, regular rate, pedal edema, calf non tender,murmur, rales","elevated troponin, bnp","ekg, xray, ap chest, 2d echo, aortic stenosis, reduced, cavity size, ejection fraction, sinus rhythm, normal axis, lvh, inferior lateral,st wave, cardiomegaly, pulmonary edema","concentric left ventricular hypertrophy, nyha two",,"strict I/O, dvt prophylaxis, daily weight, oral fluid restriction","cardiologist, hospitalist","furosemide, aspirin, hydralazine, low sodium, nasal cannula",
acute calculus cholecystitis,K80.00,GI,abdominal pain,"twelve hours, sharp, upper right, pepto bismol","nausea, vomiting, back pain","atorvastatin, lisinopril ","blood pressure, heart rate, respiratory rate, oxygen saturation","fever, chills","no murmur, no gallop, bowel sounds present, abdominal tenderness","elevated wbc, left shift present, bilirubin elevated, ldh elevated, alkaline phosphatase elevated, ast, alt elevated, serum lactate within normal limits","gallstones, wall thickening, pericholecystic fluid, edema, positive sonographic, murphy sign, ultrasound",acute calculus cholecystitis,"gangrene, perforation","pneumatic compression stockings, incentive spirometry, bolus, morphine",general surgeon,cholecystectomy,
acute pancreatitis,K35.0,GI,abdominal pain,"twelve hours, dull, upper right, pepto bismol","dyspnea, nausea, vomiting, back pain","atorvastatin, lisinopril ","blood pressure, heart rate, respiratory rate, oxygen saturation","fever, chills","no murmur, no gallop, bowel sounds present, abdominal tenderness, rebound tenderness","elevated wbc, left shift present, lipase elevated, alkaline phosphatase elevated, ast, alt elevated, serum lactate elevated","thickened pancreas, fluid, head, ultrasound",acute pancreatitis,,"pneumatic compression stockings, foley, nasal cannula, incentive spirometry, bolus, morphine",general surgeon,"iv fluids, parenteral nutrition, pain relief",
ascending cholangitis,K83.0,GI,abdominal pain,"twelve hours, sharp, upper right, pepto bismol","jaundice, dyspnea, vomiting, back pain","atorvastatin, lisinopril ","blood pressure, heart rate, respiratory rate, oxygen saturation","fever, chills","scleral icterus, no murmur, no gallop, bowel sounds present, abdominal tenderness, rebound tenderness","elevated wbc, bilirubin elevated, alkaline phosphatase elevated, ast, alt elevated, serum lactate elevated","gallstones, intrahepatic ducts dilated, pancreas normal, stone, distal common bile duct, ultrasound",ascending cholangitis,,"pneumatic compression stockings, foley, nasal cannula, incentive spirometry, bolus, morphine","general surgeon, gastroenterologist","biliary stenting, endoscopic retrograde cholangiopancreatography",
pancreatic cancer,C25.9,GI,abdominal pain,"twelve hours, dull, upper right, pepto bismol","jaundice, nausea, dark urine, gray stool, back pain","atorvastatin, lisinopril ","blood pressure, heart rate, respiratory rate, oxygen saturation",weight loss,"scleral icterus, no murmur, no gallop, bowel sounds present, abdominal tenderness","non elevated wbc, bilirubin elevated, ldh elevated, alkaline phosphatase elevated, ast, alt elevated, serum lactate within normal limits","distended gall bladder, thin wall, cbd dilation, mass, head",pancreatic cancer,,"morphine, ondansetron","general surgeon, gastroenterologist, medical oncologist",pancreaticoduodenectomy,
nephrolithiasis,N20.2,GU,blood in urine ,"four hours, urine, blood, dull, left groin","nausea, flank pain, bloody, dark urine, back pain",hydrochlorothiazide,"blood pressure, heart rate, respiratory rate, oxygen saturation","no oropharynx erythema, no tonsillar exudate, uvula midline","no nuchal rigidity, no anterior cervical lymphadenopathy, no murmur, no gallop, ","cbc with diff, bmp, pth, crp, esr, pthrp, ua with reflex microscopic, reflex culture","ekg, xray, chest, ct abdomen, without contrast ",nephrolithiasis,"renal mass, compression fracture, hypercalcemic crisis","dvt prophylaxis, ketorolac","hospitalist, oncologist, endocrinologist, urologist",extracorporeal shockwave therapy,
post strep glomerulonephritis,N00.8,GU,blood in urine ,"one week, blood, alcohol, sharp","fatigue, weight gain, sore throat, orthopnea, wheezing, cough, short of breath, bloody, urine, dark, lower extremity edema","clopidogrel, lisinopril, rosuvastatin","blood pressure, heart rate, respiratory rate, oxygen saturation","oropharynx erythema, tonsillar exudate, uvula midline","no nuchal rigidity, no anterior cervical lymphadenopathy, no murmur, no gallop, ","cbc with diff, bmp, pth, crp, esr, pthrp, ua with reflex microscopic, reflex culture","ekg, xray, chest",post strep glomerulonephritis,"acute kidney injury, hypertensive emergency, pulmonary edema","dvt prophylaxis, nasal cannula, incentive spirometry, low phosphate, low potassium, acetaminophen","hospitalist, nephrologist",antibiotics,
rhabdomyolysis,M62.82,GU,blood in urine ,"dull, dark","fatigue, bloody, urine, decreased output","levothyroxine, simvastatin","blood pressure, heart rate, respiratory rate, oxygen saturation","no oropharynx erythema, no tonsillar exudate, uvula midline","no nuchal rigidity, no anterior cervical lymphadenopathy, no murmur, no gallop, ","cbc with diff, bmp, pth, crp, esr, pthrp, ua with reflex microscopic, reflex culture","ekg, xray, chest",rhabdomyolysis,"acute kidney injury, hyperkalemia","bicarbonate, insulin, calcium gluconate",intensivist,medications,
urothelial carcinoma,C67.9,GU,blood in urine ,"blood, one week, full","fatigue, nausea, wheezing, cough, suprapubic fullness, bloody, urine, dark, lower extremity edema","apixaban, lisinopril, budesonide","blood pressure, heart rate, respiratory rate, oxygen saturation","no oropharynx erythema, no tonsillar exudate, uvula midline","no nuchal rigidity, no anterior cervical lymphadenopathy, no murmur, no gallop, ","cbc with diff, bmp, pth, crp, esr, pthrp, ua with reflex microscopic, reflex culture","ekg, xray, chest, ultrasound bladder, bladder scan, post void residual",urothelial carcinoma,"acute urinary retention, urinary tract infection","foley leg bag, hematuria catheter irrigations",oncologist,medications,
